Comments,Flair
8135,None
520,Russia
443,Neutral
375,USA
258,Syria
257,Hizbollah
251,Civilian/ICRC
237,Turkey
218,Free Syrian Army
171,Israel
146,European Union
141,Switzerland
138,YPG
126,Syrian Democratic Forces
125,United States of America
115,Syrian
111,Turkish Armed Forces
104,Syrian Arab Army
96,UK
96,Syrian Republican Guard
88,Anarchist/Internationalist
88,Free Syria
84,Anarchist-Communist
82,Euphrates Volcano
80,Canada
78,Operation Inherent Resolve
76,People's Protection Units
69,Peoples' United Revolutionary Movement
67,uk
67,Lebanon
58,Germany
54,Circassian
52,Socialist
52,Netherlands
51,Armenia
50,Iran
49,United Kingdom
46,Iraq
43,Ireland
42,Anti-IS
39,Good bot
38,Croatia
32,Syrian Social Nationalist Party
31,Argentina
27,Marshall Islands
27,Australia
25,Hezbollah
25,Islamist
23,France
23,Palestine
21,Gibraltar
19,Marxistâ€“Leninist Communist Party (Turkey)
18,ISIS Hunters
17,Bethnahrin Women's Defence Forces
15,Al Nusra Front
15,Jaish al-Islam
15,Bosnia
15,Anti-ISIS
14,Kemalist
14,al-Nusra Front
13,Bahamas
13,Estonia
11,Albania
11,Popular Front for the Liberation of Palestine
10,Sootoro
10,United States
9,Democratic Union Party (PYD)
8,Sweden
8,New Zealand
7,Gozarto Protection Force
7,Kurdistan Communities Union
7,Socialist 
6,Finland
6,Greece
6,Assyria
5,Romania
5,Egypt
5,Portugal
5,Czech Republic
5,Druze
4,Syrian Civil Defence
4,Bulgaria
4,Liwa al-Quds
4,Tiger Forces
4,Islamic State
4,Battle of Victory
4,Belgium
4,Kurd
4,Italy
4,Poland
4,India
3,Kurdistan Workers Party (PKK)
3,Saudi Arabia
3,Serbia
3,Lebanese Army
2,AKP (Turkey)
2,United Kingdom 
2,Syrian Resistance
2,Macedonia
2,Anarchist
2,Ukraine
2,Norway
1,Rojava
1,Republic of Chad
1,Anarchist 
1,Nicaragua
1,Denmark
1,Palau
1,Brazil
1,KCU
1,SDF
1,Syriac Military Council 
1,Kurdistan Workers' Party
1,Spain
1,Kurdistan
1,TAF
1,Jaysh al-Islam
1,Somalia
1,KCK
1,Montenegro
1,Azerbaijan
1,Assyrian 
1,Nation Defense Force
1,Nepal